Song-Name,Singer/Artists,Genre,Album/Movie,emotion,videoId,channelTitle
Maine Socha Ke Chura Loon,"Arijit Singh, Shreya Ghoshal",BollywoodRomantic,Phir Se,love,x24WbnJI1xc,https://i.ytimg.com/vi/x24WbnJI1xc/hqdefault.jpg
Mar Gaye,"Manj Musik, Nindy Kaur",BollywoodDance,Beiimaan Love,joy,JZE4-Bek4rY,https://i.ytimg.com/vi/JZE4-Bek4rY/hqdefault.jpg
Cutiepie,"Nakash Aziz, Pardeep Singh Sran",BollywoodDance,Ae Dil Hai Mushkil,joy,mVxMqmeeLXc,https://i.ytimg.com/vi/mVxMqmeeLXc/hqdefault.jpg
Lipstick Laga Ke,"Payal Dev, Shaan",BollywoodDance,Great Grand Masti,joy,KUTNCBiRsdc,https://i.ytimg.com/vi/KUTNCBiRsdc/hqdefault.jpg
Laila,"Anand Raaj Anand, Mika Singh, Sunidhi Chauhan",BollywoodDance,Shootout at Wadala,joy,ThPinA3THas,https://i.ytimg.com/vi/ThPinA3THas/hqdefault.jpg
Tu Mera Hero,"Mika, Shefali Alvaris",BollywoodDance,Desi Boyz,joy,TR3Ifjpf7W8,https://i.ytimg.com/vi/TR3Ifjpf7W8/hqdefault.jpg
A Flying Jatt,"Mansheel Gujral, Raftaar, Tanishkaa",BollywoodDance,A Flying Jatt,joy,vWq-s-5OZAg,https://i.ytimg.com/vi/vWq-s-5OZAg/hqdefault.jpg
World Dance Medley,"K.K., Neeti Mohan, Shankar Mahadevan, Sukhwinder Singh, Vishal Dadlani",BollywoodDanceRomantic,Happy New Year,love,G_mCIeEb6cM,https://i.ytimg.com/vi/G_mCIeEb6cM/hqdefault.jpg
Qayamat,"Alka Yagnik, Sukhwinder Singh",BollywoodDance,Deewane,joy,9iUOU8O8Fys,https://i.ytimg.com/vi/9iUOU8O8Fys/hqdefault.jpg
Matargashti,Mohit Chauhan,BollywoodDance,Tamasha,joy,6vKucgAeF_Q,https://i.ytimg.com/vi/6vKucgAeF_Q/hqdefault.jpg
Pehla Nasha Once Again,"Jubin Nautiyal, Palak Muchhal",BollywoodRomantic,Yoodlee film – Kuchh Bheege Alfaaz,love,iaSDB8ReYUU,https://i.ytimg.com/vi/iaSDB8ReYUU/hqdefault.jpg
Raj Karega Khalsa,"Daler Mehndi, Navraj Hans",BollywoodMotivational,A Flying Jatt,surprise,gftrEAfkK9U,https://i.ytimg.com/vi/gftrEAfkK9U/hqdefault.jpg
Punjabi Wedding Song,"Benny Dayal, Sunidhi Chauhan",BollywoodDance,Hasee Toh Phasee,joy,NuTx6Q4151s,https://i.ytimg.com/vi/NuTx6Q4151s/hqdefault.jpg
Rabba Ishq Na Hove,"Alka Yagnik, Kailash Kher, Sapna Mukherjee, Sonu Nigam",BollywoodSad,Andaaz,sadness,33h0tCPEgx0,https://i.ytimg.com/vi/33h0tCPEgx0/hqdefault.jpg
Tumhi Ho Bandhu,"Kavita Seth, Neeraj Shridhar",BollywoodDance,Cocktail,joy,o1RducJbUdc,https://i.ytimg.com/vi/o1RducJbUdc/hqdefault.jpg
Saans,"Mohit Chauhan, Shreya Ghoshal",BollywoodRomantic,Jab Tak Hai Jaan,love,VAt6TO2gdko,https://i.ytimg.com/vi/VAt6TO2gdko/hqdefault.jpg
Besharmi Ki Height,"Benny Dayal, Shalmali Kholgade",BollywoodDance,Main Tera Hero,joy,IFYJNLZT_B0,https://i.ytimg.com/vi/IFYJNLZT_B0/hqdefault.jpg
Mere Rashke Qamar,Tulsi Kumar,BollywoodDanceSad,Baadshaho,sadness,q8gilwzNQEA,https://i.ytimg.com/vi/q8gilwzNQEA/hqdefault.jpg
Besabriyaan,Armaan Malik,Bollywood,M.S. Dhoni,neutral,UBBHpoW3AKA,https://i.ytimg.com/vi/UBBHpoW3AKA/hqdefault.jpg
Tu Hai Ki Nahin,Ankit Tiwari,BollywoodSad,Roy,sadness,61floBUAiTY,https://i.ytimg.com/vi/61floBUAiTY/hqdefault.jpg
Aaj Ki Party,Mika Singh,BollywoodDance,Bajrangi Bhaijaan,joy,x4UjdNUjwoQ,https://i.ytimg.com/vi/x4UjdNUjwoQ/hqdefault.jpg
Saaton Janam Main Tere,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Dilwale,love,f0oiheLlFW4,https://i.ytimg.com/vi/f0oiheLlFW4/hqdefault.jpg
